"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"11/23/2021","11/23/2021","11/24/2021","AFRM","AFRM 11/26/2021 Call $130.00","BTO","2","$3.40","($680.00)"
"11/23/2021","11/23/2021","11/24/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","5","$0.27","$134.98"
"11/23/2021","11/23/2021","11/24/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","2","$0.76","$151.98"
"11/23/2021","11/23/2021","11/24/2021","AMZN","AMZN 11/26/2021 Put $3,500.00","STC","1","$11.50","$1,149.98"
"11/23/2021","11/23/2021","11/24/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","2","$0.35","$69.98"
"11/23/2021","11/23/2021","11/24/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","3","$0.35","$104.98"
"11/23/2021","11/23/2021","11/24/2021","AMZN","AMZN 11/26/2021 Put $3,500.00","BTO","1","$13.50","($1,350.00)"
"11/23/2021","11/23/2021","11/24/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","10","$0.30","$299.97"
"11/23/2021","11/23/2021","11/24/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","2","$2.20","$439.98"
"11/23/2021","11/23/2021","11/24/2021","GME","GME 11/26/2021 Call $300.00","STC","1","$5.72","$571.98"
"11/23/2021","11/23/2021","11/24/2021","GME","GME 11/26/2021 Call $300.00","STC","1","$6.25","$624.98"
"11/23/2021","11/23/2021","11/24/2021","GME","GME 11/26/2021 Call $300.00","STC","1","$6.25","$624.98"
"11/23/2021","11/23/2021","11/24/2021","GME","GME 11/26/2021 Call $300.00","STC","1","$6.35","$634.98"
"11/23/2021","11/23/2021","11/24/2021","GME","GME 11/26/2021 Call $300.00","STC","1","$6.25","$624.98"
"11/23/2021","11/23/2021","11/24/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","2","$1.88","$375.98"
"11/23/2021","11/23/2021","11/24/2021","GME","GME 11/26/2021 Call $300.00","BTO","5","$5.50","($2,750.00)"
"11/22/2021","11/22/2021","11/23/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","1","$1.07","$106.98"
"11/22/2021","11/22/2021","11/23/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","1","$1.07","$106.98"
"11/22/2021","11/22/2021","11/23/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","1","$0.99","$98.98"
"11/22/2021","11/22/2021","11/23/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","1","$0.99","$98.98"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","3","$0.24","$71.98"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","7","$0.24","$167.98"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","10","$0.25","$249.97"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","10","$0.22","$219.97"
"11/22/2021","11/22/2021","11/23/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","5","$0.98","$489.98"
"11/22/2021","11/22/2021","11/23/2021","NFLX","NFLX 11/26/2021 Put $615.00","BTO","4","$0.28","($112.00)"
"11/22/2021","11/22/2021","11/23/2021","ZM","ZM 11/26/2021 Call $275.00","STC","1","$4.01","$400.98"
"11/22/2021","11/22/2021","11/23/2021","ZM","ZM 11/26/2021 Call $275.00","BTO","1","$4.40","($440.00)"
"11/22/2021","11/22/2021","11/23/2021","F","F 12/3/2021 Call $22.50","BTO","2","$0.13","($26.00)"
"11/22/2021","11/22/2021","11/23/2021","F","F 12/3/2021 Call $22.50","BTO","10","$0.13","($130.00)"
"11/22/2021","11/22/2021","11/23/2021","F","F 12/3/2021 Call $22.50","BTO","2","$0.13","($26.00)"
"11/22/2021","11/22/2021","11/23/2021","F","F 12/3/2021 Call $22.50","BTO","4","$0.13","($52.00)"
"11/22/2021","11/22/2021","11/23/2021","F","F 12/3/2021 Call $22.50","BTO","7","$0.13","($91.00)"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","STC","50","$0.19","$949.89"
"11/22/2021","11/22/2021","11/23/2021","BYSI","BYSI 12/17/2021 Call $20.00","BTO","1","$2.30","($230.00)"
"11/22/2021","11/22/2021","11/23/2021","SPY","SPY 11/22/2021 Put $470.00","STC","5","$0.07","$34.98"
"11/22/2021","11/22/2021","11/23/2021","SHOP","SHOP 11/26/2021 Call $1,800.00","STC","1","$4.30","$429.98"
"11/22/2021","11/22/2021","11/23/2021","GME","GME 11/26/2021 Call $300.00","STC","1","$8.50","$849.98"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","BTO","27","$0.18","($486.00)"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","BTO","10","$0.18","($180.00)"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","BTO","32","$0.18","($576.00)"
"11/22/2021","11/22/2021","11/23/2021","AAPL","AAPL 11/26/2021 Put $155.00","BTO","31","$0.18","($558.00)"
"11/22/2021","11/22/2021","11/23/2021","EL","EL 12/17/2021 Call $370.00","STC","2","$3.66","$731.98"
"11/22/2021","11/22/2021","11/23/2021","SHOP","SHOP 11/26/2021 Call $1,800.00","BTO","1","$4.90","($490.00)"
"11/22/2021","11/22/2021","11/23/2021","AMZN","AMZN 11/26/2021 Call $3,800.00","STC","1","$8.25","$824.98"
"11/22/2021","11/22/2021","11/23/2021","AMZN","AMZN 11/26/2021 Call $3,800.00","BTO","1","$10.95","($1,095.00)"
"11/22/2021","11/22/2021","11/23/2021","GME","GME 11/26/2021 Call $300.00","BTO","1","$5.38","($538.00)"
"11/22/2021","11/22/2021","11/23/2021","SPY","SPY 11/22/2021 Put $470.00","STC","20","$0.31","$619.95"
"11/22/2021","11/22/2021","11/23/2021","SPY","SPY 11/22/2021 Put $470.00","BTO","25","$0.32","($800.00)"
"11/22/2021","11/22/2021","11/23/2021","FB","FB 11/26/2021 Call $360.00","STC","2","$2.59","$517.98"
"11/22/2021","11/22/2021","11/23/2021","FB","FB 11/26/2021 Call $360.00","BTO","2","$3.15","($630.00)"
"11/22/2021","11/22/2021","11/23/2021","SHOP","SHOP 11/26/2021 Call $1,800.00","STC","1","$12.40","$1,239.98"
"11/22/2021","11/22/2021","11/23/2021","SHOP","SHOP 11/26/2021 Call $1,800.00","BTO","1","$9.58","($958.00)"
"11/22/2021","11/22/2021","11/23/2021","NVDA","NVDA 11/26/2021 Put $300.00","STC","10","$0.69","$689.97"
"11/22/2021","11/22/2021","11/23/2021","FB","FB 11/26/2021 Call $355.00","STC","1","$2.15","$214.98"
"11/22/2021","11/22/2021","11/23/2021","F","F 12/3/2021 Call $22.50","STC","15","$0.22","$329.96"
"11/22/2021","11/22/2021","11/23/2021","SQ","SQ 12/31/2021 Call $250.00","BTO","1","$2.10","($210.00)"
"11/22/2021","11/22/2021","11/23/2021","SQ","SQ 12/31/2021 Call $250.00","BTO","1","$2.10","($210.00)"
"11/22/2021","11/22/2021","11/23/2021","SQ","SQ 12/31/2021 Call $250.00","BTO","1","$2.10","($210.00)"
"11/22/2021","11/22/2021","11/23/2021","NVDA","NVDA 11/26/2021 Put $300.00","BTO","25","$0.68","($1,700.00)"
"11/22/2021","11/22/2021","11/23/2021","FB","FB 11/26/2021 Call $355.00","STC","2","$2.00","$399.98"
"11/22/2021","11/22/2021","11/23/2021","FB","FB 11/26/2021 Call $355.00","STC","1","$2.00","$199.98"
"11/22/2021","11/22/2021","11/23/2021","FB","FB 11/26/2021 Call $355.00","BTO","1","$2.07","($207.00)"
"11/22/2021","11/22/2021","11/23/2021","FB","FB 11/26/2021 Call $355.00","BTO","4","$2.07","($828.00)"
"11/22/2021","11/22/2021","11/23/2021","MRNA","MRNA 12/17/2021 Call $300.00","STC","1","$12.55","$1,254.98"
"11/19/2021","11/19/2021","11/22/2021","WDFC","Option Expiration for WDFC 11/19/2021 Call $300.00","OEXP","1S","",""
"11/19/2021","11/19/2021","11/22/2021","TLRY","Option Expiration for TLRY 11/19/2021 Call $14.00","OEXP","2S","",""
"11/19/2021","11/19/2021","11/22/2021","CCAC","Option Expiration for CCAC 11/19/2021 Call $20.00","OEXP","1S","",""
"11/19/2021","11/19/2021","11/22/2021","GEVO","Option Expiration for GEVO 11/19/2021 Call $10.00","OEXP","5S","",""
"11/19/2021","11/19/2021","11/22/2021","POWW","Option Expiration for POWW 11/19/2021 Call $7.50","OEXP","2S","",""
"11/19/2021","11/19/2021","11/22/2021","BNTX","Option Expiration for BNTX 11/19/2021 Call $400.00","OEXP","2S","",""
"11/19/2021","11/19/2021","11/22/2021","WEN","Option Expiration for WEN 11/19/2021 Call $30.00","OEXP","1S","",""
"11/19/2021","11/19/2021","11/22/2021","BYSI","BYSI 12/17/2021 Call $25.00","BTO","1","$1.60","($160.00)"
"11/19/2021","11/19/2021","11/22/2021","EL","EL 12/17/2021 Call $370.00","BTO","3","$3.60","($1,080.00)"
"11/19/2021","11/19/2021","11/22/2021","BYSI","BYSI 12/17/2021 Call $25.00","BTO","1","$1.70","($170.00)"
"11/19/2021","11/19/2021","11/22/2021","BYSI","BYSI 12/17/2021 Call $20.00","BTO","1","$2.40","($240.00)"
"11/19/2021","11/19/2021","11/22/2021","BMRN","BMRN 12/17/2021 Call $100.00","STC","2","$2.00","$399.98"
"11/19/2021","11/19/2021","11/22/2021","BMRN","BMRN 12/17/2021 Call $100.00","STC","2","$2.00","$399.98"
"11/19/2021","11/19/2021","11/22/2021","AMZN","AMZN 11/19/2021 Call $3,800.00","STC","1","$5.55","$554.98"
"11/19/2021","11/19/2021","11/22/2021","AMZN","AMZN 11/19/2021 Call $3,800.00","BTO","1","$5.40","($540.00)"
"11/19/2021","11/19/2021","11/22/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","3","$3.10","$929.98"
"11/19/2021","11/19/2021","11/22/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","2","$4.30","$859.98"
"11/19/2021","11/19/2021","11/22/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","1","$4.40","$439.98"
"11/19/2021","11/19/2021","11/22/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","2","$4.45","$889.98"
"11/19/2021","11/19/2021","11/22/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","2","$4.40","$879.98"
"11/19/2021","11/19/2021","11/22/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","BTO","10","$4.10","($4,100.00)"
"11/19/2021","11/19/2021","11/22/2021","MRNA","MRNA 11/19/2021 Call $280.00","STC","1","$1.85","$184.98"
"11/19/2021","11/19/2021","11/22/2021","MRNA","MRNA 11/19/2021 Call $280.00","STC","1","$1.85","$184.98"
"11/19/2021","11/19/2021","11/22/2021","MRNA","MRNA 11/19/2021 Call $280.00","BTO","2","$2.30","($460.00)"
"11/19/2021","11/19/2021","11/22/2021","AMZN","AMZN 11/19/2021 Call $3,750.00","STC","1","$19.70","$1,969.97"
"11/19/2021","11/19/2021","11/22/2021","AMZN","AMZN 11/19/2021 Call $3,750.00","BTO","1","$18.35","($1,835.00)"
"11/19/2021","11/19/2021","11/19/2021","","Gold Fee","GOLD","","","($5.00)"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,750.00","STC","1","$3.30","$329.98"
"11/18/2021","11/18/2021","11/19/2021","CRM","CRM 11/26/2021 Call $315.00","STC","2","$0.97","$193.98"
"11/18/2021","11/18/2021","11/19/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","2","$2.10","$419.98"
"11/18/2021","11/18/2021","11/19/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","1","$4.00","$399.98"
"11/18/2021","11/18/2021","11/19/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","1","$3.90","$389.98"
"11/18/2021","11/18/2021","11/19/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","STC","1","$3.91","$390.98"
"11/18/2021","11/18/2021","11/19/2021","GOOGL","GOOGL 11/19/2021 Call $3,050.00","BTO","5","$3.70","($1,850.00)"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,750.00","BTO","1","$5.40","($540.00)"
"11/18/2021","11/18/2021","11/19/2021","SHOP","SHOP 11/19/2021 Call $1,700.00","STC","1","$6.90","$689.98"
"11/18/2021","11/18/2021","11/19/2021","SHOP","SHOP 11/19/2021 Call $1,700.00","BTO","1","$7.00","($700.00)"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","1","$6.50","$649.98"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","1","$6.80","$679.98"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","2","$6.55","$1,309.98"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","1","$6.60","$659.98"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","1","$6.60","$659.98"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","2","$6.01","$1,201.98"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","2","$5.70","$1,139.98"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","BTO","10","$5.65","($5,650.00)"
"11/18/2021","11/18/2021","11/19/2021","TWLO","TWLO 12/3/2021 Call $350.00","BTO","1","$0.50","($50.00)"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","1","$3.80","$379.98"
"11/18/2021","11/18/2021","11/19/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","BTO","1","$6.55","($655.00)"
"11/18/2021","11/18/2021","11/19/2021","NVDA","NVDA 11/19/2021 Call $330.00","STC","4","$2.66","$1,063.98"
"11/18/2021","11/18/2021","11/19/2021","NVDA","NVDA 11/19/2021 Call $330.00","BTO","4","$5.00","($2,000.00)"
"11/17/2021","11/17/2021","11/18/2021","CRM","CRM 11/26/2021 Call $315.00","BTO","2","$2.03","($406.00)"
"11/17/2021","11/17/2021","11/18/2021","MRNA","MRNA 12/17/2021 Call $300.00","BTO","1","$3.25","($325.00)"
"11/17/2021","11/17/2021","11/18/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","STC","1","$5.15","$514.98"
"11/17/2021","11/17/2021","11/18/2021","FB","FB 11/19/2021 Call $350.00","STC","3","$1.21","$362.98"
"11/17/2021","11/17/2021","11/18/2021","AMZN","AMZN 11/19/2021 Call $3,700.00","BTO","1","$5.15","($515.00)"
"11/17/2021","11/17/2021","11/18/2021","FB","FB 11/19/2021 Call $350.00","BTO","3","$1.26","($378.00)"
"11/17/2021","11/17/2021","11/18/2021","MRNA","MRNA 11/26/2021 Call $255.00","STC","1","$4.65","$464.98"
"11/17/2021","11/17/2021","11/18/2021","MRNA","MRNA 11/26/2021 Call $255.00","STC","1","$3.15","$314.98"
"11/17/2021","11/17/2021","11/18/2021","AMZN","AMZN 11/19/2021 Put $3,500.00","STC","1","$7.10","$709.98"
"11/17/2021","11/17/2021","11/18/2021","AMZN","AMZN 11/19/2021 Put $3,500.00","BTO","1","$7.13","($713.00)"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","7","$0.13","$90.98"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","1","$0.13","$12.98"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","23","$0.13","$298.94"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","20","$0.13","$259.95"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","20","$0.20","$399.95"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","10","$0.23","$229.97"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","10","$0.23","$229.97"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","4","$0.23","$91.98"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","STC","5","$0.23","$114.98"
"11/17/2021","11/17/2021","11/18/2021","SPY","SPY 11/17/2021 Call $470.00","BTO","100","$0.26","($2,600.00)"
"11/17/2021","11/17/2021","11/18/2021","LCID","LCID 11/19/2021 Call $60.00","STC","1","$1.60","$159.98"
"11/17/2021","11/17/2021","11/18/2021","LCID","LCID 11/19/2021 Call $60.00","STC","1","$1.71","$170.98"
"11/17/2021","11/17/2021","11/18/2021","LCID","LCID 11/19/2021 Call $60.00","STC","3","$1.42","$425.98"
"11/17/2021","11/17/2021","11/18/2021","LCID","LCID 11/19/2021 Call $60.00","STC","1","$1.26","$125.98"
"11/17/2021","11/17/2021","11/18/2021","LCID","LCID 11/19/2021 Call $60.00","STC","4","$1.23","$491.98"
"11/17/2021","11/17/2021","11/18/2021","LCID","LCID 11/19/2021 Call $60.00","BTO","10","$1.15","($1,150.00)"
"11/17/2021","11/17/2021","11/18/2021","AMZN","AMZN 11/19/2021 Call $3,650.00","STC","1","$9.50","$949.98"
"11/17/2021","11/17/2021","11/18/2021","AMZN","AMZN 11/19/2021 Call $3,650.00","STC","1","$13.05","$1,304.98"
"11/17/2021","11/17/2021","11/18/2021","AMZN","AMZN 11/19/2021 Call $3,650.00","BTO","2","$9.65","($1,930.00)"
"11/16/2021","11/16/2021","11/17/2021","MRNA","MRNA 11/26/2021 Call $255.00","BTO","2","$2.66","($532.00)"
"11/16/2021","11/16/2021","11/17/2021","TWLO","TWLO 12/3/2021 Call $350.00","STC","1","$1.30","$129.98"
"11/16/2021","11/16/2021","11/17/2021","TSLA","TSLA 11/19/2021 Call $1,100.00","STC","1","$6.40","$639.98"
"11/16/2021","11/16/2021","11/17/2021","TSLA","TSLA 11/19/2021 Call $1,100.00","STC","1","$4.85","$484.98"
"11/16/2021","11/16/2021","11/17/2021","TSLA","TSLA 11/19/2021 Call $1,100.00","STC","1","$4.85","$484.98"
"11/16/2021","11/16/2021","11/17/2021","TSLA","TSLA 11/19/2021 Call $1,100.00","STC","2","$5.00","$999.98"
"11/16/2021","11/16/2021","11/17/2021","TSLA","TSLA 11/19/2021 Call $1,100.00","BTO","5","$4.20","($2,100.00)"
"11/15/2021","11/15/2021","11/16/2021","TLRY","TLRY 11/19/2021 Call $14.00","BTO","2","$0.45","($90.00)"
"11/15/2021","11/15/2021","11/16/2021","PINS","PINS 11/26/2021 Call $54.00","STC","1","$0.52","$51.98"
"11/15/2021","11/15/2021","11/16/2021","PINS","PINS 11/26/2021 Call $54.00","STC","2","$0.52","$103.98"
"11/15/2021","11/15/2021","11/16/2021","PINS","PINS 11/26/2021 Call $54.00","STC","1","$0.52","$51.98"
"11/15/2021","11/15/2021","11/16/2021","PINS","PINS 11/26/2021 Call $54.00","STC","1","$0.52","$51.98"
"11/15/2021","11/15/2021","11/16/2021","POWW","POWW 11/19/2021 Call $7.50","BTO","1","$0.40","($40.00)"
"11/15/2021","11/15/2021","11/16/2021","POWW","POWW 11/19/2021 Call $7.50","BTO","1","$0.40","($40.00)"
"11/15/2021","11/15/2021","11/16/2021","TWLO","TWLO 12/3/2021 Call $350.00","BTO","1","$0.90","($90.00)"
"11/15/2021","11/15/2021","11/16/2021","PINS","PINS 11/26/2021 Call $54.00","STC","5","$0.68","$339.98"
"11/15/2021","11/15/2021","11/16/2021","PINS","PINS 11/26/2021 Call $54.00","BTO","6","$0.48","($288.00)"
"11/15/2021","11/15/2021","11/16/2021","PINS","PINS 11/26/2021 Call $54.00","BTO","3","$0.48","($144.00)"
"11/15/2021","11/15/2021","11/16/2021","PINS","PINS 11/26/2021 Call $54.00","BTO","1","$0.48","($48.00)"
"11/15/2021","11/15/2021","11/16/2021","ABNB","ABNB 11/19/2021 Call $220.00","STC","2","$0.85","$169.98"
"11/15/2021","11/15/2021","11/16/2021","BA","BA 2/18/2022 Call $280.00","STC","1","$3.50","$349.98"
"11/15/2021","11/15/2021","11/16/2021","AMZN","AMZN 11/19/2021 Call $3,800.00","STC","1","$6.20","$619.98"
"11/15/2021","11/15/2021","11/16/2021","AMZN","AMZN 11/19/2021 Call $3,650.00","STC","1","$22.90","$2,289.97"
"11/15/2021","11/15/2021","11/16/2021","TWLO","TWLO 12/3/2021 Call $350.00","STC","1","$1.48","$147.98"
"11/15/2021","11/15/2021","11/16/2021","SNOW","SNOW 11/19/2021 Call $400.00","STC","1","$4.10","$409.98"
"11/15/2021","11/15/2021","11/16/2021","AMZN","AMZN 11/19/2021 Call $3,800.00","BTO","1","$7.09","($709.00)"
"11/15/2021","11/15/2021","11/16/2021","ABNB","ABNB 11/19/2021 Call $220.00","STC","1","$2.08","$207.98"
"11/15/2021","11/15/2021","11/16/2021","AMZN","AMZN 11/19/2021 Call $3,650.00","STC","1","$22.00","$2,199.97"
"11/15/2021","11/15/2021","11/16/2021","AMZN","AMZN 11/19/2021 Call $3,650.00","BTO","1","$14.65","($1,465.00)"
"11/15/2021","11/15/2021","11/16/2021","AMZN","AMZN 11/19/2021 Call $3,650.00","BTO","1","$14.65","($1,465.00)"
"11/15/2021","11/15/2021","11/15/2021","","GOLDEN STATE-355621 TURLOCK, CA","CARD","","","($182.50)"
"11/15/2021","11/15/2021","11/15/2021","","IN N OUT BURGER 161 TURLOCK, CA","CARD","","","($14.77)"
"11/12/2021","11/12/2021","11/15/2021","NIO","Option Expiration for NIO 11/12/2021 Call $45.00","OEXP","1S","",""
"11/12/2021","11/12/2021","11/15/2021","FB","Option Expiration for FB 11/12/2021 Call $360.00","OEXP","2S","",""
"11/12/2021","11/12/2021","11/15/2021","ABNB","ABNB 11/19/2021 Call $220.00","BTO","3","$1.74","($522.00)"
"11/12/2021","11/12/2021","11/15/2021","ETSY","ETSY 11/19/2021 Call $280.00","STC","1","$3.20","$319.98"
"11/12/2021","11/12/2021","11/15/2021","TSLA","TSLA 11/19/2021 Call $1,200.00","STC","1","$2.99","$298.98"
"11/12/2021","11/12/2021","11/15/2021","BABA","BABA 11/19/2021 Call $220.00","STC","2","$0.05","$9.98"
"11/12/2021","11/12/2021","11/15/2021","TDOC","TDOC 11/19/2021 Call $175.00","STC","1","$0.04","$3.98"
"11/12/2021","11/12/2021","11/15/2021","SOLO","SOLO 11/26/2021 Call $5.00","STC","1","$0.08","$7.98"
"11/12/2021","11/12/2021","11/15/2021","SOLO","SOLO 11/26/2021 Call $5.00","STC","2","$0.08","$15.98"
"11/12/2021","11/12/2021","11/15/2021","TSLA","TSLA 11/12/2021 Call $1,050.00","STC","4","$1.41","$563.98"
"11/12/2021","11/12/2021","11/15/2021","TSLA","TSLA 11/12/2021 Call $1,050.00","BTO","2","$1.48","($296.00)"
"11/12/2021","11/12/2021","11/15/2021","TSLA","TSLA 11/12/2021 Call $1,050.00","BTO","2","$1.47","($294.00)"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,580.00","STC","2","$0.85","$169.98"
"11/12/2021","11/12/2021","11/15/2021","TSLA","TSLA 11/12/2021 Call $1,050.00","STC","2","$1.95","$389.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,580.00","BTO","1","$1.25","($125.00)"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,580.00","BTO","1","$1.25","($125.00)"
"11/12/2021","11/12/2021","11/15/2021","TSLA","TSLA 11/12/2021 Call $1,050.00","BTO","2","$1.67","($334.00)"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,530.00","STC","1","$7.80","$779.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,530.00","BTO","1","$9.00","($900.00)"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,550.00","STC","1","$2.50","$249.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,550.00","STC","1","$2.16","$215.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,550.00","STC","1","$2.54","$253.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,550.00","STC","1","$2.52","$251.98"
"11/12/2021","11/12/2021","11/15/2021","ETSY","ETSY 11/19/2021 Call $280.00","STC","1","$1.47","$146.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,550.00","STC","1","$1.88","$187.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,550.00","BTO","5","$1.52","($760.00)"
"11/12/2021","11/12/2021","11/15/2021","SNOW","SNOW 11/19/2021 Call $400.00","BTO","1","$2.25","($225.00)"
"11/12/2021","11/12/2021","11/15/2021","TSLA","TSLA 11/19/2021 Call $1,200.00","BTO","1","$3.25","($325.00)"
"11/12/2021","11/12/2021","11/15/2021","ETSY","ETSY 11/19/2021 Call $280.00","BTO","2","$1.13","($226.00)"
"11/12/2021","11/12/2021","11/15/2021","CELH","CELH 11/19/2021 Put $90.00","STC","1","$4.20","$419.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,500.00","STC","1","$9.35","$934.98"
"11/12/2021","11/12/2021","11/15/2021","AMZN","AMZN 11/12/2021 Call $3,500.00","BTO","1","$8.00","($800.00)"
"11/12/2021","11/12/2021","11/15/2021","FB","FB 11/12/2021 Call $335.00","STC","5","$0.50","$249.98"
"11/12/2021","11/12/2021","11/15/2021","FB","FB 11/12/2021 Call $335.00","BTO","3","$0.53","($159.00)"
"11/12/2021","11/12/2021","11/15/2021","FB","FB 11/12/2021 Call $335.00","BTO","2","$0.53","($106.00)"
"11/12/2021","11/12/2021","11/12/2021","","RALEY S #310 2900 GEER TURLOCK, CA","CARD","","","($25.50)"
"11/12/2021","11/12/2021","11/15/2021","CAT","CAT 11/12/2021 Call $210.00","STC","1","$0.82","$81.98"
"11/12/2021","11/12/2021","11/15/2021","CAT","CAT 11/12/2021 Call $210.00","STC","1","$0.82","$81.98"
"11/12/2021","11/12/2021","11/12/2021","","GROCERY OUTLET TURLOCK, CA","CARD","","","($99.74)"
"11/12/2021","11/12/2021","11/12/2021","","CSU STANISLAUS CAFE TURLOCK, CA","CARD","","","($6.39)"
"11/12/2021","11/12/2021","11/12/2021","","1 University Cir Turlock, CA","CARD","","","($183.00)"
"11/11/2021","11/11/2021","11/12/2021","CAT","CAT 11/12/2021 Call $210.00","BTO","2","$0.60","($120.00)"
"11/11/2021","11/11/2021","11/12/2021","TWLO","TWLO 12/3/2021 Call $350.00","BTO","1","$0.90","($90.00)"
"11/11/2021","11/11/2021","11/12/2021","TWLO","TWLO 12/3/2021 Call $350.00","BTO","1","$1.00","($100.00)"
"11/11/2021","11/11/2021","11/12/2021","SEAH","SEAH 11/19/2021 Call $12.50","STC","2","$0.52","$103.98"
"11/11/2021","11/11/2021","11/12/2021","TSLA","TSLA 11/12/2021 Call $1,150.00","STC","1","$1.00","$99.98"
